,review
10,"There are many clubs ranging from music to robotics, etc. However, only the tech clubs enjoy success. There are multiple tech clubs like BYLD(the most famous one), Foobar, etc which usually deal with programming, web development, networking, etc. There are clubs related to music, dance, arts, photography, dramatics, etc but they are not very popular. The college has two major fests- Esya(tech fest) and Odyssey(Cultural fest). As the college is kind of recent, it has excellent infrastructure. the buildings are built in the modern architecture, the labs are well equipped and the classrooms are spacious. The hostels are in a good condition.I won't call it excellent but compared to other colleges they'd seem like a five star. The rooms are equipped with AC. The internet speed is amazing.Most of the rooms are on a double or triple sharing basis.The rooms and bathrooms are cleaned regularly so you will have no complaint about that aspect. however, the bathrooms are a little cramped. There are no attached washrooms to the rooms. The mess food is atrocious. I have heard complaints of worms being found in the food.The entire campus has good wi-fi speed. The library is ideal. There are rooms for mass meetings, etc. There is a reading lobby which is usually the hub of students and in general, a very cheerful place.This is probably one of the very few colleges in India in which all academic staff has a doctoral degree. The teachers are excellent. You have to give quizzes, assignments, projects, etc within the deadline. Most of the time you'll be buried in coursework. In the end, it seems worth it for you learn twice as much as a student from any other college. What I love is the framework of the course. it is a credit based system, kind of like in the US universities. You get to tailor the courses to a certain extent and can choose your own electives ranging from theatre appreciation to philosophy. So if I want to, I can study both History and Programming at the same time.The fee structure of IIIT, New Delhi for B.Tech program is INR 2,50,000 per annum.The placements rates for a college that has not been established for even ten years are outstanding. Almost all the students get placed. We have a strong alumni network and they are touch in with the current students of the college as well, guiding them.The admissions to the college on the basis of JEE MAIN rank. Further, the students who have excellent achievements in extracurricular (sports, dramatics, art, etc) get bonus marks. Also, the college lays emphasis on the all-round development of a student."
11,"Societies: 1. Dance 2. Art 3. Music 4. Coding 5. Design 6. Software Development 7. Electronics 8. Philosophy 9. Space 10. Speed Cubing 11. Cyber Security 12. Cultural 13. Sports.
Esya - annual technical fest, Odyssey - annual cultural fest, Triquetra - joint sports fest (with DTU and NSIT).There are 2 boys and 2 girls hostel. The hostel fee is INR 32,000 per semester. Quality of Classrooms, Labs, Libraries, Dining halls are good and we have good Wi-Fi facility.Hectic schedule. Top notch professors and curriculum. Great culture. Supportive seniors.The tuition fee is INR 1,17,500 per semester. Chairman's Merit Scholarship is available for the students who ranked less than 2,000 in JEE MAIN exams.Companies like Microsoft, IBM, Intel, Directi, Amazon, MathWorks, Adobe, Siemens, SAP, Qualcomm, Deloitte, Goldman Sachs, Oracle, Myntra, HackerRank, LinkedIn, Flipkart, VMW are recruiting our students with an average salary of 12,35,000 rupees per annum. The highest salary offered was INR 35 lakh rupees per annum.Candidate must clear the JEE MAIN exam and must have passed the 12th from the recognized institute to get admission in this college. The cutoff rank must be below 8,500."
12,"
IIITD believes in helping build personality and emphasizes the importance of various societies.
We have 2 main fests in a Year: Odyssey (Cultural Fest) and Esya (Technical Fest).
Both the fests witness a high footfall and enjoy immense participation.
We have various clubs like Ink, Astronauts, Audio Bytes, Byrd, Foobar, Mad Toes, Design, Literary, Ethical Hacking, Movie making, Robotics, Sports, and Quiz.
Students are encouraged to take part in various extracurricular activities going on in the campus and outside.
We celebrate all the festivals together with food and lights.

IIITD infrastructure is something that every student would talk about with pride.
At present, there are 2 hostels, one for boys having 372 seats and the other for girls with 164 seats.
There is a common mess for boys and girls.
The new hostels are currently under construction and would be ready for the next batch.
Air-conditioning is provided in all the blocks.
The campus is clean and green.
All the students will get access to the amazing WiFi speed.
Computer labs are comfortable to work in.
There are discussion rooms available to students for project discussions.

The overall experience is pretty amazing.
There is a wide range of Electives that span various domains like Economics, Biology, Finance, Management, Social Science, Philosophy, etc.
Life in IIITD would be hectic, with loads of assignments, but the knowledge you gain would be incomparable.

Students can enroll for scholarships based on specified parameters.
There are scholarships based on merit (JEE rank less than 2000) as well as for students with parents' gross income below the specific limit.

For the 2017 batch, around 100 companies visited the campus for interviews.
The students had an option of sitting for both - Technical as well as Non-Technical jobs.
The highest salary offered was 35 LPA.
There were around 301 offers made by all the companies (198 full time + 103 intern offers).
The average package is around 12 LPA.
Companies like Amazon, DirectI, Microsoft, Adobe, Myntra, EMC^2, Zomato, InMobi, PWC, Deloitte, IBM, LinkedIn were some of the recruiters.

The students are selected based on their JEE score and marks obtained in the class 12 boards.
"
13,"
Indraprastha Institute of Information Technology campus is good.
Lots of facilities are available to students like free wifi etc.
There are many college programs conducted on the campus.

There is a hostel facility available in Indraprastha Institute of Information Technology and which cost Rs. 70,000 per year.

Daily there is 5 to 6 hour class per day at Indraprastha Institute of Information Technology.
There are several assignment and project given to the BCA students.

Course fees at Indraprastha Institute of Information Technology are around Rs. 2 to 3 lakh pa.
A bank loan is also available to middle-class students.

Average salary offered is around Rs. 12 lakh per year for the students at Indraprastha Institute of Information Technology. 

The eligibility criteria for joining Indraprastha Institute of Information Technology is passing the 12th in computer science stream at 50% of marks.
The students have to clear the required entrance exam.
"
14,"
The eligibility criteria for joining the Indraprastha Institute of Information Technology, [IIIT] New Delhi is clearing the JEE MAIN after completing the 12th.
The cutoff for computer course was around 8000 for my college.
"
15,"
There are many student societies and clubs. To mention a few :-

Byld:Software Development CLub
Foobar:Competetive Programming Club
FOQS:Photography Club
and many more....

Esya is the annual techfest of IIITD organised around the month of August. Odyssey is the annual Cultural Fest organised around the month of January and Triquetra is the combined tournament organised by IIITD, NSIT, DTU.
In all college life is AWESOME.

Currently there are two hostels with a capacity of 372 seats for the boys and 164 seats for the girls. All of them have Air conditioner and high internet speeds. There is a common room in the boys hostel where the students can spend their leisure time playing table football and watching TV.
Other than the hostels there are many PG options also there.
Food is pretty decent in the mess and there is a television all acompanied with centralised AC and WiFi.
All the classrooms are up to date and with comfortable seats. Labs have Lan as well as WiFi with whopping speed of 700 Mbps.

Our college fees is Rs 2 lakh per annum.
Many scholarships are available to the students here at the time of the admission and during the course structure as well. Students coming from government schools have all of their fees waved off. Also institute offer financial help to the students with the required criteria.

A day in IIITD is quite exhilarating as well as quite hectic. The classes usually start from 9'o clock and sometimes goes on till 4:30 Pm. As far as the curriculum is concerned it is quite tough as compared to other engineering college. One cannot just pass the examinations by memorizing or studying just the night before. 
Talking about the faculty here, we have one of the best faculty with almost all of them with doctorate(s). 
I am currently in my first year and till now the overall experience has been very exciting and resourceful, and I know it will be the same for the next three years.
"
16,"
Student societies and clubs are there at Indraprastha Institute of Information Technology
Life in the college is good

Classrooms infrastructure are very good at Indraprastha Institute of Information Technology

Internship options are provided to the students at Indraprastha Institute of Information Technology
Alumni network is very effective

The course fee is INR 2,00,000 per annum at Indraprastha Institute of Information Technology
Scholarship options are provided to the students

The quality and method of teaching are good at Indraprastha Institute of Information Technology
Overall experience at the college is good
"
17,"
A lot of student societies like photography society, electronics society are there in the college
Life at Indraprastha Institute of Information Technology is good

Hostel facilities are provided to the students at Indraprastha Institute of Information Technology
The hostel fee is INR 20000 per semester
The quality of food is good

The average salary is INR 900000 per annum
Alumni network is effective at Indraprastha Institute of Information Technology

The course fee is Rs. 92,500 per semester.


Fee Waiver Scholarship is provided to the students based on their family income
Loans can be easily availed

The class timing is from 9:30 am to 5:00 pm at Indraprastha Institute of Information Technology
The quality and method of teaching are good
"
18," Alcohol or any drug is strictly prohibited in the campus. There are surprise checks in hostel rooms by the gaurds.
And the place is 100 % ragging free with no troubles from anyone.
The cultural team organizes parties at various occassions.
 99% of the students get on campus hostel. We have a compulsary mess with an option to pay for 20/30 days.
Mess food costs around 6,000 per sem with 20 day coupons and around 8,000 with 30 day coupons.
The mess provides breakfast,lunch, evening snacks and dinner.
There is also a canteen which offers healthy food at reasonable price . We also have a cdx within our academic building.
There are also options to eat off campus.The whole campus including the mess, gym ,hostels are all Wi-fi connected . Lan ports are also available in labs and hostels.
The infrastructure is good and well maintained with 24 X 7 FMS facility.  
We have a mess which serves food which is far more better than what is served in most of the renowned colleges. But it is still MESS FOOD.
There is also a canteen, a juice corner and  CDx in the campus. 
The complete institute include classrooms , library, hostels is air condidtioned.
Sports facilities are quite good. We have football field,basketball court,lawn tennis court,badminton court, volley ball court, pool , table tennis, gym.
The campus is around 1 Km from the Govindpuri Metro Station.Companies like Google, Microsoft , Adobe, IBM, Zomato, Samsung, Oracle, Paytm, Snapdeal and many more have been recruiters at IIIT Delhi.
 Avg . salary package in 2014 was 12.9Lac. ( for Btech and Mtech)  and 13.57Lac ( for B.tech students)
90% of the B.tech students who were registered for placement in 2014 were placed and 100 % of the M.Tech students were placed.The tution fee per semester is Rs. 80,000 .
Top 10% candidates in the merit list under Delhi region get 50% fee waiver for the first year only.
There are income linked scholarships. 100% for a student from BPL.
50 % scholarship if Gross Income of parents in service is up to Rs.4.50 Lakh p.a. (Rs.2.70 Lakh p.a. for those having business income) and last school fee paid is less than Rs.0.25 Lakh p.a.
25% scholarship if Gross Income of parents in service is between Rs.4.50 Lakh and Rs.6 lakh p.a. (Between Rs.2.70 and Rs.3.60 Lakh p.a. for those having business income) and last school fee paid is less than Rs.0.45 Lakh p.a.The faculty of IIIT-Delhi is excellent. We have professors with PhDs from institutes around the world .Most professors are quite young, having recently completed their PhDs, and are very approachable . They have their office hours,  they rarely refuse even if u talk to them outside office hours. If you join IIIT, you're going to have to work a lot. This can not be emphasized enough. On the day of counselling, our director tells prospective students to join only if they are ready to work very hard. From the day one students here work hard and enjoy the quality education here. We have core courses right from the first semester. We have optional subjects like Theatre, Psychology, Issues in contemporary world, Critical Thinking. And from 3rd yr onwards we have a long list of technical subjects to choose from."
19,"
 Social atmosphere is very good.
There is no violence like ragging and other thing.
Senior always help juniors when they need. 

Food in mess is average. But students can eat in the cafeteria , as it provide lot of options in its menu
Hostel rooms are in excellent condition
AC facility available IIIT 

 
Although campus area is less , but facilities provided are excellent
Football field , Tennis court , Student Center , Volleyball field is available
Whole campus got wifi , even in the playground you have access to wifi
Hostels are new and are very clean and tidy. Rooms has got AC facility

 
They give scholarship to every needy student so that every student can study. Almost 20% to 25% student get scholarship every year at IIIT Delhi

Academic schedule is very good. every week there is a test and submission of assignments and the way teaching it is very good.
"
